"erv","gene","spearman_rho","p_value","padj"
"3690","ENSG00000255801",0.906774677467747,0,0
"468","ENSG00000143797",0.806024602460246,0,0
"944","ENSG00000283646",0.873328656904637,2.249187187016e-32,5.24810343637066e-32
"K-10","ENSG00000287839",0.60045784716096,4.01678048895216e-11,5.62349268453303e-11
"3317","ENSG00000185745",0.961548154815482,0,0
"3317","ENSG00000152778",0.8603300330033,0,0
"466","ENSG00000225964",0.840536222089651,7.79095975232809e-28,1.55819195046562e-27
"466","ENSG00000134326",0.879379338505519,2.37766300962337e-33,6.65745642694545e-33
"1495","ENSG00000138642",0.828108826265718,2.24227554288293e-26,3.92398220004513e-26
"2574","ENSG00000284707",0.60826412562587,1.91514720832071e-11,2.97911787960999e-11
