"erv","gene","spearman_rho","p_value","padj"
"3690","ENSG00000255801",0.906774677467747,0,0
"468","ENSG00000143797",0.806024602460246,0,0
"4830","ENSG00000274173",NA,NA,NA
"944","ENSG00000283646",0.873328656904637,2.249187187016e-32,5.24810343637066e-32
"2124","ENSG00000289456",NA,NA,NA
"K-10","ENSG00000287839",0.60045784716096,4.01678048895216e-11,5.62349268453303e-11
"K-10","ENSG00000246203",0.376808811309261,0.000111474359087831,0.000130053418935803
"3317","ENSG00000185745",0.961548154815482,0,0
"3317","ENSG00000107798",-0.11985598559856,0.234498402016609,0.234498402016609
"3317","ENSG00000152778",0.8603300330033,0,0
"466","ENSG00000225964",0.840536222089651,7.79095975232809e-28,1.55819195046562e-27
"466","ENSG00000134326",0.879379338505519,2.37766300962337e-33,6.65745642694545e-33
"1495","ENSG00000138642",0.828108826265718,2.24227554288293e-26,3.92398220004513e-26
"1745","ENSG00000291055",0.404956495649565,3.42398679150407e-05,4.35780137100518e-05
"1745","ENSG00000185986",0.259104304868754,0.00923898522860168,0.00994967640003257
"2574","ENSG00000284707",0.60826412562587,1.91514720832071e-11,2.97911787960999e-11
