erv,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1002,0,0,0,0,0,0,2,0
1004,0,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,1,0
1012,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,0,0,0
1014,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,0,0,0
1023,0,0,0,0,0,0,0,1
1024,0,0,0,0,0,0,0,0
1025,0,0,0,0,0,0,0,0
1027,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0,0
1033,0,0,2,0,0,0,0,0
1035,0,0,0,0,0,0,0,0
1036,0,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0,0
1043,1,0,1,1,2,0,2,1
1045,62,99,38,118,27,53,35,67
1046,0,0,0,0,0,0,0,0
1047,0,0,0,0,0,0,0,0
1048,0,0,0,0,0,0,0,0
1049,0,0,0,0,0,0,0,0
1051,0,0,0,0,0,1,1,1
1054,0,0,0,0,0,0,0,0
1056,0,0,0,0,0,0,0,0
1058,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,0,0
1063,0,0,0,0,0,0,0,0
1064,184,48,355,653,145,144,692,131
1066,0,1,1,1,0,0,1,1
1068,0,0,0,0,0,0,0,0
1069,0,0,0,0,0,0,0,0
1073,0,0,0,0,0,0,1,0
1074,3,0,0,3,0,0,3,0
1075,0,0,1,0,0,0,6,0
1077,0,0,0,0,0,0,0,0
1079,0,0,0,0,0,0,0,0
1080,0,0,1,0,0,0,0,0
1081,0,0,0,0,0,0,0,0
1083,0,0,0,0,0,0,0,0
1084,0,0,0,0,0,0,0,0
1086,0,0,0,0,0,0,0,0
1090,0,0,0,1,0,1,0,0
1091,1,0,0,0,0,1,0,0
1094,0,0,1,0,1,0,1,0
1096,0,0,0,0,1,0,0,0
1097,0,0,0,0,0,0,0,0
1098,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,2,0,1
1104,2,0,0,0,0,0,0,1
1108,0,0,0,0,0,0,0,0
1109,0,0,0,0,0,0,0,0
1110,0,0,0,0,1,0,0,0
1111,1,2,1,8,2,2,0,7
1112,6,5,0,18,6,3,10,9
1113,0,0,0,0,1,0,1,0
1114,0,0,0,1,0,0,0,2
1115,0,0,0,0,0,0,0,0
1116,0,0,0,0,0,0,0,0
1117,0,0,0,0,0,0,0,0
1118,1,0,1,0,2,0,0,0
1119,0,0,0,0,0,0,0,0
1120,0,0,0,0,0,0,1,0
1122,0,0,0,0,0,0,0,0
1124,0,0,0,0,0,0,0,0
1127,0,0,0,0,0,0,0,0
1128,0,0,0,4,1,0,0,2
1130,0,0,0,0,0,0,0,0
1132,0,0,0,0,0,0,0,0
1136,0,0,0,0,0,0,0,0
1138,0,0,0,0,0,0,0,0
1143,0,0,0,0,0,0,0,0
1148,0,0,0,0,0,0,0,0
1149,0,0,0,0,0,0,0,0
1151,0,0,0,0,0,0,0,0
1153,0,0,0,0,0,0,0,0
1154,0,0,0,0,0,0,0,0
1155,0,0,0,0,1,0,0,0
1156,0,0,0,0,0,0,0,0
1157,0,0,0,0,0,0,0,0
1158,0,0,0,0,0,0,0,0
1159,0,0,0,0,0,0,0,0
1160,0,0,0,0,0,0,0,0
1161,0,0,0,0,0,0,0,0
1162,0,0,0,0,0,0,0,0
1163,0,0,0,0,0,0,0,0
1164,0,0,0,0,0,0,0,1
1166,0,0,0,0,0,0,0,0
1168,4,3,1,2,0,6,0,5
1170,0,0,0,1,0,0,0,0
1171,1,0,0,0,0,0,1,0
1174,0,0,0,0,0,0,0,0
1175,0,0,0,0,0,0,0,0
1176,0,0,0,0,0,0,0,0
1178,0,0,0,0,0,0,0,0
1179,2,1,1,0,1,3,16,0
1180,0,0,0,0,2,0,0,0
1182,0,0,0,0,0,0,0,1
1184,0,0,0,0,0,0,0,0
1186,0,0,0,0,0,0,0,0
1188,0,0,0,0,0,0,0,0
1189,0,0,0,0,0,0,0,0
1194,0,0,0,0,0,0,0,0
1196,0,0,0,0,0,0,0,0
1197,0,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0,0
1199,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0
1201,0,0,0,0,0,0,0,0
1202,0,0,0,0,0,0,0,0
1203,0,0,0,0,0,0,0,0
1205,0,0,0,0,0,0,0,0
1206,0,0,0,0,0,0,0,0
1208,0,0,0,0,0,0,0,0
1209,0,0,0,0,0,0,0,0
1210,0,0,0,0,0,0,0,0
1211,0,0,0,0,0,0,0,0
1212,0,0,0,0,1,0,0,0
1216,0,0,0,0,0,0,0,0
