gene,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
ENSG00000000003,0,0,0,6,0,0,1,0
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,153,225,133,240,214,112,106,264
ENSG00000000457,188,195,308,284,364,200,227,275
ENSG00000000460,34,46,18,56,27,34,15,66
ENSG00000000938,12713,8467,56404,24148,29179,21172,31164,31679
ENSG00000000971,2,4,1,5,2,0,0,0
ENSG00000001036,210,362,138,252,326,421,301,425
ENSG00000001084,116,141,35,108,89,93,42,74
ENSG00000001167,227,230,366,512,473,336,256,417
ENSG00000001460,16,41,17,43,17,25,18,37
ENSG00000001461,120,293,113,252,163,195,182,211
ENSG00000001497,244,320,104,302,335,387,236,309
ENSG00000001561,31,28,10,74,18,24,5,99
ENSG00000001617,4,0,6,0,0,0,0,1
ENSG00000001626,0,2,0,0,0,0,0,0
ENSG00000001629,72,84,85,138,93,55,41,85
ENSG00000001630,1,0,0,7,0,2,4,5
ENSG00000001631,16,28,22,37,19,22,13,30
ENSG00000002016,33,73,35,103,41,59,35,74
ENSG00000002079,0,0,0,0,0,0,0,0
ENSG00000002330,271,286,375,431,262,335,303,464
ENSG00000002549,480,957,2373,531,2215,1357,1869,923
ENSG00000002586,2531,3171,2073,2950,2097,2860,2464,1792
ENSG00000002587,3,12,6,15,0,3,3,12
ENSG00000002726,4,3,251,44,1,9,494,168
ENSG00000002745,2,5,0,5,0,2,0,3
ENSG00000002746,0,0,0,0,0,1,0,0
ENSG00000002822,7,40,8,11,18,39,40,13
ENSG00000002834,7134,5591,12788,13813,13516,13022,10919,11965
ENSG00000002919,596,503,1262,1300,1238,1030,1080,1046
ENSG00000002933,18,169,55,230,11,19,563,759
ENSG00000003056,947,1780,849,1587,1110,1439,1005,1400
ENSG00000003096,1,0,0,3,1,2,0,1
ENSG00000003137,42,31,0,0,0,0,0,1
ENSG00000003147,58,65,92,158,75,108,104,276
ENSG00000003249,12,24,1,73,8,67,12,44
ENSG00000003393,63,80,51,97,86,74,54,97
ENSG00000003400,515,447,1256,1020,1269,701,819,789
ENSG00000003402,7867,3530,16618,11860,18070,7684,12597,12001
ENSG00000003436,8,0,8,10,4,4,6,4
ENSG00000003509,78,129,72,123,108,58,63,190
ENSG00000003756,2365,2433,3340,4792,4401,3287,3076,3662
ENSG00000003987,0,0,0,0,0,0,0,0
ENSG00000003989,0,0,0,0,0,0,0,0
ENSG00000004059,1622,1744,2434,2458,2032,2768,2522,3087
ENSG00000004139,138,252,40,196,112,196,141,128
ENSG00000004142,728,779,992,817,1001,944,1177,1181
ENSG00000004399,387,920,77,408,585,959,761,508
ENSG00000004455,686,1245,416,1384,882,1243,672,1528
ENSG00000004468,480,175,121,262,675,136,273,181
ENSG00000004478,253,453,148,312,349,388,325,259
ENSG00000004487,313,484,108,396,447,466,306,420
ENSG00000004534,850,1184,1230,2165,1641,2163,1743,1740
ENSG00000004660,469,312,1524,1537,924,789,763,425
ENSG00000004700,191,294,122,314,162,129,75,201
ENSG00000004766,51,118,11,93,61,70,27,121
ENSG00000004776,0,0,6,1,3,4,5,10
ENSG00000004777,128,123,80,249,130,270,122,482
ENSG00000004779,172,209,59,143,165,197,135,273
ENSG00000004799,28,50,11,86,103,61,31,60
ENSG00000004809,16,16,12,64,16,55,20,130
ENSG00000004838,14,14,31,59,25,74,28,19
ENSG00000004846,0,0,0,0,0,0,0,0
ENSG00000004848,1,0,0,0,0,0,0,0
ENSG00000004864,49,72,33,104,50,108,44,110
ENSG00000004866,73,67,60,68,66,53,48,63
ENSG00000004897,187,180,232,256,237,172,121,218
ENSG00000004939,3566,1513,141,945,443,494,207,470
ENSG00000004948,0,0,0,0,0,0,0,0
ENSG00000004961,120,188,162,237,185,201,200,263
ENSG00000004975,172,268,256,346,281,283,303,298
ENSG00000005001,0,3,0,2,1,0,1,2
ENSG00000005007,2846,1854,4226,5490,6128,4327,4163,2888
ENSG00000005020,880,549,1117,1327,2236,1177,1052,1800
ENSG00000005022,1210,1446,367,1182,1131,1398,936,1534
ENSG00000005059,178,359,38,212,154,173,163,208
ENSG00000005073,0,0,0,0,0,0,0,0
ENSG00000005075,555,520,690,825,708,749,712,849
ENSG00000005100,49,92,35,98,51,57,31,77
ENSG00000005102,9,16,4,7,8,18,29,32
ENSG00000005108,3,0,1,0,0,1,0,0
ENSG00000005156,180,246,118,324,190,284,188,488
ENSG00000005175,187,254,143,210,164,153,74,208
ENSG00000005187,5,23,4,10,9,12,6,22
ENSG00000005189,25,18,13,22,17,24,5,32
ENSG00000005194,199,242,111,251,193,238,260,215
ENSG00000005206,372,476,432,776,494,603,634,608
ENSG00000005238,1707,1130,3476,3367,2099,2136,2135,2827
ENSG00000005243,8,18,6,15,13,13,21,6
ENSG00000005249,338,97,200,291,135,56,90,45
ENSG00000005302,1842,869,4764,2574,3036,1313,3521,2983
ENSG00000005339,1478,1066,2582,3404,3566,2511,1896,1785
ENSG00000005379,231,263,247,529,238,215,279,128
ENSG00000005381,656,626,86,2903,77,2379,287,7885
ENSG00000005421,0,0,0,0,0,0,0,0
ENSG00000005436,44,56,7,51,25,33,19,36
ENSG00000005448,64,111,13,72,53,69,64,44
ENSG00000005469,28,43,15,34,19,15,21,22
ENSG00000005471,12,14,3,21,7,21,11,19
ENSG00000005483,686,740,1660,1645,1717,1029,1029,1145
ENSG00000005486,990,597,2131,1118,1305,933,1512,1486
ENSG00000005513,3,15,0,5,2,8,5,2
ENSG00000005700,108,128,10,116,68,87,44,100
ENSG00000005801,79,121,45,106,67,57,41,97
ENSG00000005810,283,421,282,651,457,480,330,425
ENSG00000005812,237,162,296,462,271,174,122,210
ENSG00000005844,3394,3898,6722,6573,8939,5865,9194,4131
