,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1002,0,0,0,0,0,0,2.10300387749986,0
1004,0,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,1.05150193874993,0
1012,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,0,0,0
1014,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,0,0,0
1023,0,0,0,0,0,0,0,0.840047247244072
1024,0,0,0,0,0,0,0,0
1025,0,0,0,0,0,0,0,0
1027,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0,0
1033,0,0,2.37891471506631,0,0,0,0,0
1035,0,0,0,0,0,0,0,0
1036,0,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0,0
1043,1.17727881798902,0,1.18945735753315,0.768706690806,1.84501571389187,0,2.10300387749986,0.840047247244072
1045,72.9912867153191,100.227018352852,45.1993795862598,90.707389515108,24.9077121375403,50.0866453084762,36.8025678562476,56.2831655653528
1046,0,0,0,0,0,0,0,0
1047,0,0,0,0,0,0,0,0
1048,0,0,0,0,0,0,0,0
1049,0,0,0,0,0,0,0,0
1051,0,0,0,0,0,0.945031043556156,1.05150193874993,0.840047247244072
1054,0,0,0,0,0,0,0,0
1056,0,0,0,0,0,0,0,0
1058,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,0,0
1063,0,0,0,0,0,0,0,0
1064,216.619302509979,48.5949179892614,422.257361924269,501.965469096318,133.763639257161,136.084470272086,727.639341614953,110.046189388973
1066,0,1.01239412477628,1.18945735753315,0.768706690806,0,0,1.05150193874993,0.840047247244072
1068,0,0,0,0,0,0,0,0
1069,0,0,0,0,0,0,0,0
1073,0,0,0,0,0,0,1.05150193874993,0
1074,3.53183645396705,0,0,2.306120072418,0,0,3.1545058162498,0
1075,0,0,1.18945735753315,0,0,0,6.30901163249959,0
1077,0,0,0,0,0,0,0,0
1079,0,0,0,0,0,0,0,0
1080,0,0,1.18945735753315,0,0,0,0,0
1081,0,0,0,0,0,0,0,0
1083,0,0,0,0,0,0,0,0
1084,0,0,0,0,0,0,0,0
1086,0,0,0,0,0,0,0,0
1090,0,0,0,0.768706690806,0,0.945031043556156,0,0
1091,1.17727881798902,0,0,0,0,0.945031043556156,0,0
1094,0,0,1.18945735753315,0,0.922507856945936,0,1.05150193874993,0
1096,0,0,0,0,0.922507856945936,0,0,0
1097,0,0,0,0,0,0,0,0
1098,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,1.89006208711231,0,0.840047247244072
1104,2.35455763597804,0,0,0,0,0,0,0.840047247244072
1108,0,0,0,0,0,0,0,0
1109,0,0,0,0,0,0,0,0
1110,0,0,0,0,0.922507856945936,0,0,0
1111,1.17727881798902,2.02478824955256,1.18945735753315,6.149653526448,1.84501571389187,1.89006208711231,0,5.8803307307085
1112,7.06367290793411,5.0619706238814,0,13.836720434508,5.53504714167562,2.83509313066847,10.5150193874993,7.56042522519665
1113,0,0,0,0,0.922507856945936,0,1.05150193874993,0
1114,0,0,0,0.768706690806,0,0,0,1.68009449448814
1115,0,0,0,0,0,0,0,0
1116,0,0,0,0,0,0,0,0
1117,0,0,0,0,0,0,0,0
1118,1.17727881798902,0,1.18945735753315,0,1.84501571389187,0,0,0
1119,0,0,0,0,0,0,0,0
1120,0,0,0,0,0,0,1.05150193874993,0
1122,0,0,0,0,0,0,0,0
1124,0,0,0,0,0,0,0,0
1127,0,0,0,0,0,0,0,0
1128,0,0,0,3.074826763224,0.922507856945936,0,0,1.68009449448814
1130,0,0,0,0,0,0,0,0
1132,0,0,0,0,0,0,0,0
1136,0,0,0,0,0,0,0,0
1138,0,0,0,0,0,0,0,0
1143,0,0,0,0,0,0,0,0
1148,0,0,0,0,0,0,0,0
1149,0,0,0,0,0,0,0,0
1151,0,0,0,0,0,0,0,0
1153,0,0,0,0,0,0,0,0
1154,0,0,0,0,0,0,0,0
1155,0,0,0,0,0.922507856945936,0,0,0
1156,0,0,0,0,0,0,0,0
1157,0,0,0,0,0,0,0,0
1158,0,0,0,0,0,0,0,0
1159,0,0,0,0,0,0,0,0
1160,0,0,0,0,0,0,0,0
1161,0,0,0,0,0,0,0,0
1162,0,0,0,0,0,0,0,0
1163,0,0,0,0,0,0,0,0
1164,0,0,0,0,0,0,0,0.840047247244072
1166,0,0,0,0,0,0,0,0
1168,4.70911527195607,3.03718237432884,1.18945735753315,1.537413381612,0,5.67018626133693,0,4.20023623622036
1170,0,0,0,0.768706690806,0,0,0,0
1171,1.17727881798902,0,0,0,0,0,1.05150193874993,0
1174,0,0,0,0,0,0,0,0
1175,0,0,0,0,0,0,0,0
1176,0,0,0,0,0,0,0,0
1178,0,0,0,0,0,0,0,0
1179,2.35455763597804,1.01239412477628,1.18945735753315,0,0.922507856945936,2.83509313066847,16.8240310199989,0
1180,0,0,0,0,1.84501571389187,0,0,0
1182,0,0,0,0,0,0,0,0.840047247244072
1184,0,0,0,0,0,0,0,0
1186,0,0,0,0,0,0,0,0
1188,0,0,0,0,0,0,0,0
1189,0,0,0,0,0,0,0,0
1194,0,0,0,0,0,0,0,0
1196,0,0,0,0,0,0,0,0
1197,0,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0,0
1199,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0
1201,0,0,0,0,0,0,0,0
1202,0,0,0,0,0,0,0,0
1203,0,0,0,0,0,0,0,0
1205,0,0,0,0,0,0,0,0
1206,0,0,0,0,0,0,0,0
1208,0,0,0,0,0,0,0,0
1209,0,0,0,0,0,0,0,0
1210,0,0,0,0,0,0,0,0
1211,0,0,0,0,0,0,0,0
1212,0,0,0,0,0.922507856945936,0,0,0
1216,0,0,0,0,0,0,0,0
1217,0,0,0,0,0,0,0,0
1219,0,0,0,0,0,0,0,0
1220,0,0,0,0,0,0,0,0
1223,0,0,0,0,0,0,0,0
1224,0,0,0,0,0,0,0,0
1225,0,0,1.18945735753315,0.768706690806,2.76752357083781,4.72515521778078,1.05150193874993,1.68009449448814
1227,0,0,0,0,0,0,0,0
1229,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0
1233,1.17727881798902,0,0,0,0,0,0,0
1234,0,0,17.8418603629973,1.537413381612,8.30257071251343,3.78012417422462,2.10300387749986,0
1236,0,0,0,0,0,0,0,0
1237,0,0,0,0,0,0,0,0
1239,0,0,0,0,0,0,0,0
1242,0,0,0,0,0,0,0,0
1244,0,0,0,0,0,0,0,0
1245,0,0,0,0,0,0,0,0
1246,0,0,0,1.537413381612,0,0,0,0
1247,0,0,0,0,0,0,0,0
1248,0,0,0,0.768706690806,0,0,0,0.840047247244072
1249,1.17727881798902,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0,0
1251,0,1.01239412477628,0,0.768706690806,0,0,0,0
1256,0,0,0,0,0,0,0,0
1257,0,0,0,0.768706690806,0,0,0,0
1259,0,0,2.37891471506631,0,0,0,0,0
1262,0,0,0,0,0,0,1.05150193874993,0
1264,0,0,0,0,0,0.945031043556156,0,0
1265,0,0,0,0,0,0,0,0
1266,0,0,1.18945735753315,4.612240144836,1.84501571389187,0,0,0
1267,0,0,0,0,0,0,0,0
1268,0,0,0,0,0,0,1.05150193874993,0
1269,0,0,0,0,0,0,0,0
1271,0,0,0,0,0,0,0,0
1274,1.17727881798902,0,1.18945735753315,0.768706690806,0,0.945031043556156,0,0
1275,0,0,0,0,0,0,0,0
1276,0,0,0,0,0.922507856945936,0,2.10300387749986,0
1278,0,0,0,0,0,0,1.05150193874993,0
1280,0,0,0,0,0,0,0,0
1281,0,0,0,0,0,0.945031043556156,0,0.840047247244072
1284,0,1.01239412477628,0,0,0,0,0,0
1285,0,3.03718237432884,0,0.768706690806,0,0.945031043556156,0,1.68009449448814
1286,1.17727881798902,0,0,0,0,0.945031043556156,2.10300387749986,1.68009449448814
1287,0,0,0,0,0,0,0,0
1288,0,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0
