"erv_name","subgenes","noncanon","canon","supergroup","class","comment","chromosome","start","end","strand","overlap_feature_types","overlapping_transcript_ids","overlapping_gene_ids","overlapping_gene_names","gene_biotypes","strand_overlap","closest_upstream_pc_gene","erv_group"
"6080","IN SU TM PPT","HML8",NA,"HML",2,"HML8","1",160687620,160690643,"-","intron","ENST00000630436,ENST00000627799,ENST00000621431,ENST00000628340,ENST00000368045,ENST00000368046,ENST00000613788,ENST00000626085,ENST00000627996","ENSG00000228863,ENSG00000117091","CD48","lncRNA,protein_coding","both",".","HML8"
"6217","5LTR PBS MA CA NC Prot RT IN 3LTR",NA,"HERVH","HERVHF",1,"","1",229173970,229180173,"+","intron","ENST00000662083,ENST00000666388","ENSG00000236975","LINC02814","lncRNA","opposite",".","HERVH"
"565","5LTR PBS MA CA NC Prot RT IN TM PPT 3LTR","HUERSP3",NA,"HUERSP",1,"","2",69789471,69799355,"-","exon and intron","ENST00000686342,ENST00000692020,ENST00000702970,ENST00000685260,ENST00000687837,ENST00000689941,ENST00000691088,ENST00000693376,ENST00000702944,ENST00000702989,ENST00000692298,ENST00000684858,ENST00000688376,ENST00000690450,ENST00000690676,ENST00000692156,ENST00000684786,ENST00000702948,ENST00000703014,ENST00000692113,ENST00000702919,ENST00000703019,ENST00000460942,ENST00000394295,ENST00000409920,ENST00000460439,ENST00000477632,ENST00000484219,ENST00000487351,ENST00000635311","ENSG00000288869,ENSG00000196975","SMANTIS,ANXA4","lncRNA,protein_coding","both",".","HUERSP3"
"606","5LTR PBS CA NC Prot IN TM PPT 3LTR","THE",NA,"HSERVIII",3,"LINE IN 5«AND 3«. ALU IN MID","2",88876862,88890156,"+","exon and intron","ENST00000390243","ENSG00000211598","IGKV4-1","IG_V_gene","same",".","THE"
"814","5LTR PBS CA NC Prot RT IN 3LTR","HERV9",NA,"HERVW9",1,"","2",218108677,218122049,"-","no_overlap",".",".",".",".","none",".","HERV9"
"882","5LTR PBS MA CA NC Prot RT IN SU TM PPT","HERV9",NA,"HERVW9",1,"","3",20269428,20281828,"+","intron","ENST00000635369,ENST00000634618","ENSG00000231304","SGO1-AS1","lncRNA","same",".","HERV9"
"909","5LTR PBS MA NC Prot RT IN TM PPT 3LTR","HERVH",NA,"HERVHF",1,"","3",32458603,32467714,"-","intron","ENST00000487007","ENSG00000153551","CMTM7","protein_coding","opposite",".","HERVH"
"942","5LTR PBS CA NC Prot RT IN PPT",NA,"HERVH","HERVHF",1,"","3",46387405,46393402,"-","exon and intron","ENST00000691693,ENST00000686150,ENST00000451485,ENST00000701879","ENSG00000223552","CCR5AS","lncRNA","same",".","HERVH"
"1043","5LTR PBS CA NC RT IN SU TM 3LTR",NA,"HERVT","MLLV*",1,"","3",101632044,101642053,"+","no_overlap",".",".",".",".","none",".","HERVT"
"1179","5LTR PBS MA CA NC Prot RT IN PPT 3LTR","HERVH",NA,"HERVHF",1,"","3",152596603,152605968,"+","no_overlap",".",".",".",".","none",".","HERVH"
"1379","5LTR PBS CA IN SU TM PPT 3LTR",NA,"HML6","HML",2,"HML6","4",39539258,39544115,"-","exon and intron","ENST00000662380,ENST00000504032","ENSG00000287262,ENSG00000249348","UGDH-AS1","lncRNA","both","SMIM14","HML6"
"1874","5LTR CA NC RT IN TM PPT 3LTR","THE",NA,"HSERVIII",3,"","5",70512459,70531584,"+","exon and intron","ENST00000508439","ENSG00000196302","GUSBP15","unprocessed_pseudogene","opposite",".","THE"
"1879","5LTR CA NC Prot RT IN SU TM PPT 3LTR",NA,"HERV9","HERVW9",1,"","5",72926261,72936085,"+","no_overlap",".",".",".",".","none",".","HERV9"
"2095","MA CA NC Prot RT SU TM","HERVW",NA,"HERVW9",1,"","6",24667710,24680423,"-","intron","ENST00000537591,ENST00000230048","ENSG00000112304","ACOT13","protein_coding","opposite",".","HERVW"
