"","erv_name","chromosome","start","end","strand","overlap_feature_types","overlapping_transcript_ids","overlapping_gene_ids","overlapping_gene_names","gene_biotypes","strand_overlap","closest_upstream_pc_gene"
"1","6080","1",160687620,160690643,"-","intron","ENST00000630436,ENST00000627799,ENST00000621431,ENST00000628340,ENST00000368045,ENST00000368046,ENST00000613788,ENST00000626085,ENST00000627996","ENSG00000228863,ENSG00000117091","CD48","lncRNA,protein_coding","both","."
"2","3508","11",59923927,59931395,"+","no_overlap",".",".",".",".","none","."
"3","3659","11",122824427,122834651,"+","intron","ENST00000649590","ENSG00000285909",".","lncRNA","opposite","."
"4","3687","12",8281116,8291582,"-","exon and intron","ENST00000656887,ENST00000541031,ENST00000669735","ENSG00000286504,ENSG00000256589,ENSG00000286895","ENPP7P5","lncRNA,unprocessed_pseudogene","both","."
"5","3743","12",29135981,29140551,"-","no_overlap",".",".",".",".","none","."
"6","4174","14",69809151,69819704,"+","no_overlap",".",".",".",".","none","."
"7","4426","17",11971743,11978102,"+","exon and intron","ENST00000580270,ENST00000580306,ENST00000322748,ENST00000580613,ENST00000454073","ENSG00000266368,ENSG00000154957","ZNF18","lncRNA,protein_coding","opposite","DNAH9"
"8","4657","19",21620236,21631408,"+","no_overlap",".",".",".",".","none","."
"9","4745","19",47392828,47398771,"+","no_overlap",".",".",".",".","none","."
"10","565","2",69789471,69799355,"-","exon and intron","ENST00000686342,ENST00000692020,ENST00000702970,ENST00000685260,ENST00000687837,ENST00000689941,ENST00000691088,ENST00000693376,ENST00000702944,ENST00000702989,ENST00000692298,ENST00000684858,ENST00000688376,ENST00000690450,ENST00000690676,ENST00000692156,ENST00000684786,ENST00000702948,ENST00000703014,ENST00000692113,ENST00000702919,ENST00000703019,ENST00000460942,ENST00000394295,ENST00000409920,ENST00000460439,ENST00000477632,ENST00000484219,ENST00000487351,ENST00000635311","ENSG00000288869,ENSG00000196975","SMANTIS,ANXA4","lncRNA,protein_coding","both","."
"11","606","2",88876862,88890156,"+","exon and intron","ENST00000390243","ENSG00000211598","IGKV4-1","IG_V_gene","same","."
"12","W-8","2",96217142,96223325,"-","intron","ENST00000665242,ENST00000666290,ENST00000432267,ENST00000659123,ENST00000446816","ENSG00000204685","STARD7-AS1","lncRNA","opposite","."
"13","814","2",218108677,218122049,"-","no_overlap",".",".",".",".","none","."
"14","4830","20",24919441,24933027,"+","exon","ENST00000620459","ENSG00000274173","LINC02967","lncRNA","same","."
"15","4896","21",38224030,38229830,"-","intron","ENST00000547341,ENST00000549805,ENST00000549158,ENST00000547595,ENST00000548700,ENST00000549932,ENST00000551422","ENSG00000157551","KCNJ15","protein_coding","opposite","."
"16","882","3",20269428,20281828,"+","intron","ENST00000635369,ENST00000634618","ENSG00000231304","SGO1-AS1","lncRNA","same","."
"17","909","3",32458603,32467714,"-","intron","ENST00000487007","ENSG00000153551","CMTM7","protein_coding","opposite","."
"18","942","3",46387405,46393402,"-","exon and intron","ENST00000691693,ENST00000686150,ENST00000451485,ENST00000701879","ENSG00000223552","CCR5AS","lncRNA","same","."
"19","1043","3",101632044,101642053,"+","no_overlap",".",".",".",".","none","."
"20","1179","3",152596603,152605968,"+","no_overlap",".",".",".",".","none","."
"21","1379","4",39539258,39544115,"-","exon and intron","ENST00000662380,ENST00000504032","ENSG00000287262,ENSG00000249348","UGDH-AS1","lncRNA","both","SMIM14"
"22","1874","5",70512459,70531584,"+","exon and intron","ENST00000508439","ENSG00000196302","GUSBP15","unprocessed_pseudogene","opposite","."
"23","1879","5",72926261,72936085,"+","no_overlap",".",".",".",".","none","."
"24","2095","6",24667710,24680423,"-","intron","ENST00000537591,ENST00000230048","ENSG00000112304","ACOT13","protein_coding","opposite","."
"25","2124","6",35561856,35567823,"-","exon and intron","ENST00000688067","ENSG00000289456",".","lncRNA","same","."
"26","2637","7",135174032,135184466,"+","exon","ENST00000354475,ENST00000423565,ENST00000682802,ENST00000683848,ENST00000683947,ENST00000684322,ENST00000684339,ENST00000682339,ENST00000682759,ENST00000683628,ENST00000684486","ENSG00000105875","WDR91","protein_coding","opposite","."
"27","2724","8",9058880,9065201,"-","exon and intron","ENST00000522258,ENST00000520332,ENST00000522612,ENST00000518663","ENSG00000104626","ERI1","protein_coding","opposite","."
"28","3052","9",35019245,35025461,"-","exon and intron","ENST00000668332","ENSG00000287868",".","lncRNA","same","."
"29","3104","9",90903903,90911679,"+","no_overlap",".",".",".",".","none","."
"30","5302","X",12939864,12947330,"+","no_overlap",".",".",".",".","none","."
"31","6217","1",229173970,229180173,"+","intron","ENST00000662083,ENST00000666388","ENSG00000236975","LINC02814","lncRNA","opposite","."
"32","4352","16",20674232,20681995,"+","exon and intron","ENST00000501740,ENST00000561584,ENST00000519031,ENST00000307493,ENST00000520010,ENST00000519745,ENST00000568235","ENSG00000005187,ENSG00000166743","ACSM3,ACSM1","protein_coding","both","."
"33","5208","Y",21240221,21249982,"-","intron","ENST00000696465","ENSG00000289707",".","lncRNA","opposite","."
