erv_name	chromosome	start	end	strand	overlap_feature_types	overlapping_transcript_ids	overlapping_gene_ids	overlapping_gene_names	gene_biotypes	strand_overlap	closest_upstream_pc_gene
5803	1	896176	898458	-	no_overlap	.	.	.	.	none	.
5804	1	1412251	1418852	-	exon	ENST00000427211,ENST00000520296,ENST00000537107	ENSG00000235098	ANKRD65	protein_coding	same	ANKRD65
5807	1	3801730	3806808	-	no_overlap	.	.	.	.	none	.
5808	1	4178468	4187573	-	no_overlap	.	.	.	.	none	.
5811	1	5044834	5052877	+	no_overlap	.	.	.	.	none	.
5812	1	5068432	5083121	-	no_overlap	.	.	.	.	none	.
5814	1	6560513	6570438	-	intron	ENST00000333172,ENST00000351136	ENSG00000173662	TAS1R1	protein_coding	opposite	.
5815	1	8921234	8927121	+	no_overlap	.	.	.	.	none	.
5816	1	9086799	9096029	+	exon and intron	ENST00000464985,ENST00000487835,ENST00000486632	ENSG00000142583	SLC2A5	protein_coding	opposite	.
5818	1	12704128	12712798	-	no_overlap	.	.	.	.	none	.
K-31	1	12780113	12785935	-	no_overlap	.	.	.	.	none	.
K-32	1	13352734	13362257	+	no_overlap	.	.	.	.	none	.
5829	1	13559773	13567620	+	no_overlap	.	.	.	.	none	.
5830	1	16102813	16108812	-	no_overlap	.	.	.	.	none	.
5833	1	19267275	19283509	+	exon and intron	ENST00000457194,ENST00000429712,ENST00000493176,ENST00000361640	ENSG00000211454,ENSG00000162482	AKR7L,AKR7A3	protein_coding	opposite	.
5835	1	19541548	19547611	+	intron	ENST00000648702	ENSG00000173436	MICOS10	protein_coding	same	.
5836	1	19926876	19932710	-	no_overlap	.	.	.	.	none	.
5837	1	19995860	20003699	+	no_overlap	.	.	.	.	none	.
5839	1	20029732	20034553	-	intron	ENST00000486277,ENST00000460175,ENST00000465698,ENST00000469069,ENST00000489871,ENST00000498348	ENSG00000127472	PLA2G5	protein_coding	opposite	.
5838	1	20041472	20045694	-	intron	ENST00000486277,ENST00000460175,ENST00000465698,ENST00000469069,ENST00000489871,ENST00000498348	ENSG00000127472	PLA2G5	protein_coding	opposite	.
5840	1	20153945	20160366	+	exon and intron	ENST00000660429,ENST00000417884,ENST00000652935,ENST00000431027	ENSG00000227066	.	lncRNA	same	PLA2G2F
5841	1	21389828	21402141	+	exon	ENST00000486095	ENSG00000236216	PPP1R11P1	processed_pseudogene	same	.
5842	1	22997698	23004362	-	no_overlap	.	.	.	.	none	.
5843	1	25588007	25604799	+	exon and intron	ENST00000412797	ENSG00000225643	.	lncRNA	same	.
5846	1	29795721	29801660	+	no_overlap	.	.	.	.	none	.
5847	1	30203677	30207868	+	no_overlap	.	.	.	.	none	.
5848	1	31457948	31467306	+	no_overlap	.	.	.	.	none	.
5850	1	32432557	32442460	+	no_overlap	.	.	.	.	none	.
5852	1	33063678	33071179	+	intron	ENST00000548559	ENSG00000004455	AK2	protein_coding	opposite	.
5855	1	34630913	34637213	-	no_overlap	.	.	.	.	none	.
5856	1	35132757	35139235	-	no_overlap	.	.	.	.	none	.
5858	1	35141421	35146772	-	exon and intron	ENST00000641402	ENSG00000284640	.	lncRNA	same	.
5860	1	36330037	36337263	+	exon and intron	ENST00000657488	ENSG00000286379	.	lncRNA	same	SH3D21
5861	1	37907864	37914094	+	intron	ENST00000373026,ENST00000373027,ENST00000373024	ENSG00000204084	INPP5B	protein_coding	opposite	.
5862	1	38144394	38150922	+	exon and intron	ENST00000655033	ENSG00000286552	.	lncRNA	same	.
5863	1	38425098	38430783	+	no_overlap	.	.	.	.	none	.
5867	1	41944842	41953816	+	intron	ENST00000489103	ENSG00000127124	HIVEP3	protein_coding	opposite	.
5870	1	43085574	43096756	+	no_overlap	.	.	.	.	none	.
5871	1	44050269	44062147	+	exon and intron	ENST00000626430,ENST00000630871,ENST00000616338,ENST00000609636,ENST00000607988,ENST00000610167,ENST00000628234,ENST00000656061,ENST00000434244,ENST00000453688,ENST00000447959,ENST00000609027,ENST00000437643,ENST00000431800	ENSG00000230615	.	lncRNA	same	.
5872	1	45316433	45321282	+	no_overlap	.	.	.	.	none	.
5874	1	45753521	45762513	-	no_overlap	.	.	.	.	none	.
5875	1	46325547	46332308	-	no_overlap	.	.	.	.	none	.
5876	1	46380899	46391052	-	no_overlap	.	.	.	.	none	.
5878	1	46902555	46907923	+	no_overlap	.	.	.	.	none	.
5881	1	46952610	46965485	+	no_overlap	.	.	.	.	none	.
5882	1	48208955	48214821	-	no_overlap	.	.	.	.	none	.
5883	1	48437943	48446631	+	intron	ENST00000396199,ENST00000487543,ENST00000371843,ENST00000371847,ENST00000471975,ENST00000463938,ENST00000465990	ENSG00000132122	SPATA6	protein_coding	opposite	.
5884	1	48513244	48520256	-	no_overlap	.	.	.	.	none	.
